"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"1-4 years"	"1-4"	"2015"	"2015"	42	15929243	0.264
	"1-4 years"	"1-4"	"2016"	"2016"	38	15956892	0.238
	"1-4 years"	"1-4"	"2017"	"2017"	26	15999565	0.163
"Total"	"1-4 years"	"1-4"			466	301248399	0.155
	"5-9 years"	"5-9"	"1999"	"1999"	2	20606460	Unreliable
	"5-9 years"	"5-9"	"2000"	"2000"	4	20549505	Unreliable
	"5-9 years"	"5-9"	"2001"	"2001"	2	20173362	Unreliable
	"5-9 years"	"5-9"	"2002"	"2002"	2	19872417	Unreliable
	"5-9 years"	"5-9"	"2003"	"2003"	6	19620851	Unreliable
	"5-9 years"	"5-9"	"2004"	"2004"	2	19454237	Unreliable
	"5-9 years"	"5-9"	"2005"	"2005"	8	19389067	Unreliable
	"5-9 years"	"5-9"	"2006"	"2006"	5	19544688	Unreliable
	"5-9 years"	"5-9"	"2007"	"2007"	7	19714611	Unreliable
	"5-9 years"	"5-9"	"2008"	"2008"	7	19929602	Unreliable
	"5-9 years"	"5-9"	"2009"	"2009"	3	20182499	Unreliable
	"5-9 years"	"5-9"	"2010"	"2010"	9	20348657	Unreliable
	"5-9 years"	"5-9"	"2011"	"2011"	6	20334196	Unreliable
	"5-9 years"	"5-9"	"2012"	"2012"	5	20475536	Unreliable
	"5-9 years"	"5-9"	"2013"	"2013"	6	20570581	Unreliable
	"5-9 years"	"5-9"	"2014"	"2014"	4	20519566	Unreliable
	"5-9 years"	"5-9"	"2015"	"2015"	8	20487176	Unreliable
	"5-9 years"	"5-9"	"2016"	"2016"	10	20429799	Unreliable
	"5-9 years"	"5-9"	"2017"	"2017"	3	20304238	Unreliable
"Total"	"5-9 years"	"5-9"			99	382507048	0.026
	"10-14 years"	"10-14"	"1999"	"1999"	4	20213364	Unreliable
	"10-14 years"	"10-14"	"2000"	"2000"	13	20528072	Unreliable
	"10-14 years"	"10-14"	"2001"	"2001"	16	20978678	Unreliable
	"10-14 years"	"10-14"	"2002"	"2002"	17	21261421	Unreliable
	"10-14 years"	"10-14"	"2003"	"2003"	12	21415353	Unreliable
	"10-14 years"	"10-14"	"2004"	"2004"	28	21411680	0.131
	"10-14 years"	"10-14"	"2005"	"2005"	17	21212579	Unreliable
	"10-14 years"	"10-14"	"2006"	"2006"	26	21033138	0.124
	"10-14 years"	"10-14"	"2007"	"2007"	33	20841042	0.158
	"10-14 years"	"10-14"	"2008"	"2008"	31	20706655	0.150
	"10-14 years"	"10-14"	"2009"	"2009"	21	20660564	0.102
	"10-14 years"	"10-14"	"2010"	"2010"	31	20677194	0.150
	"10-14 years"	"10-14"	"2011"	"2011"	21	20704852	0.101
	"10-14 years"	"10-14"	"2012"	"2012"	18	20669218	Unreliable
	"10-14 years"	"10-14"	"2013"	"2013"	15	20650454	Unreliable
	"10-14 years"	"10-14"	"2014"	"2014"	18	20671506	Unreliable
	"10-14 years"	"10-14"	"2015"	"2015"	20	20622330	0.097
	"10-14 years"	"10-14"	"2016"	"2016"	23	20618233	0.112
	"10-14 years"	"10-14"	"2017"	"2017"	31	20778454	0.149
"Total"	"10-14 years"	"10-14"			395	395654787	0.100
	"15-19 years"	"15-19"	"1999"	"1999"	157	20084602	0.782
	"15-19 years"	"15-19"	"2000"	"2000"	189	20219890	0.935
	"15-19 years"	"15-19"	"2001"	"2001"	263	20456284	1.286
	"15-19 years"	"15-19"	"2002"	"2002"	316	20610370	1.533
	"15-19 years"	"15-19"	"2003"	"2003"	373	20797166	1.794
	"15-19 years"	"15-19"	"2004"	"2004"	454	21102552	2.151
	"15-19 years"	"15-19"	"2005"	"2005"	437	21486214	2.034
	"15-19 years"	"15-19"	"2006"	"2006"	535	21807709	2.453
	"15-19 years"	"15-19"	"2007"	"2007"	587	22067816	2.660
	"15-19 years"	"15-19"	"2008"	"2008"	599	22210880	2.697
	"15-19 years"	"15-19"	"2009"	"2009"	551	22192810	2.483
	"15-19 years"	"15-19"	"2010"	"2010"	550	22040343	2.495
	"15-19 years"	"15-19"	"2011"	"2011"	556	21644043	2.569
	"15-19 years"	"15-19"	"2012"	"2012"	424	21360702	1.985
	"15-19 years"	"15-19"	"2013"	"2013"	422	21158964	1.994
	"15-19 years"	"15-19"	"2014"	"2014"	416	21067647	1.975
	"15-19 years"	"15-19"	"2015"	"2015"	506	21108903	2.397
	"15-19 years"	"15-19"	"2016"	"2016"	586	21129999	2.773
	"15-19 years"	"15-19"	"2017"	"2017"	507	21131660	2.399
"Total"	"15-19 years"	"15-19"			8428	403678554	2.088
	"20-24 years"	"20-24"	"1999"	"1999"	464	18591429	2.496
	"20-24 years"	"20-24"	"2000"	"2000"	539	18964001	2.842
	"20-24 years"	"20-24"	"2001"	"2001"	681	19757286	3.447
	"20-24 years"	"20-24"	"2002"	"2002"	863	20243765	4.263
	"20-24 years"	"20-24"	"2003"	"2003"	1026	20591688	4.983
	"20-24 years"	"20-24"	"2004"	"2004"	1142	20845560	5.478
	"20-24 years"	"20-24"	"2005"	"2005"	1248	20959955	5.954
	"20-24 years"	"20-24"	"2006"	"2006"	1561	21036135	7.421
	"20-24 years"	"20-24"	"2007"	"2007"	1589	21077999	7.539
	"20-24 years"	"20-24"	"2008"	"2008"	1695	21180612	8.003
	"20-24 years"	"20-24"	"2009"	"2009"	1678	21384122	7.847
	"20-24 years"	"20-24"	"2010"	"2010"	1837	21585999	8.510
	"20-24 years"	"20-24"	"2011"	"2011"	1989	22153832	8.978
	"20-24 years"	"20-24"	"2012"	"2012"	1920	22583203	8.502
	"20-24 years"	"20-24"	"2013"	"2013"	2064	22795438	9.054
	"20-24 years"	"20-24"	"2014"	"2014"	2290	22912174	9.995
	"20-24 years"	"20-24"	"2015"	"2015"	2576	22739313	11.328
	"20-24 years"	"20-24"	"2016"	"2016"	3441	22381028	15.375
	"20-24 years"	"20-24"	"2017"	"2017"	3587	22118635	16.217
"Total"	"20-24 years"	"20-24"			32190	403902174	7.970
	"25-29 years"	"25-29"	"1999"	"1999"	707	19575057	3.612
	"25-29 years"	"25-29"	"2000"	"2000"	694	19381336	3.581
	"25-29 years"	"25-29"	"2001"	"2001"	736	18819347	3.911
	"25-29 years"	"25-29"	"2002"	"2002"	926	18691340	4.954
	"25-29 years"	"25-29"	"2003"	"2003"	1055	18771585	5.620
	"25-29 years"	"25-29"	"2004"	"2004"	1249	19107055	6.537
	"25-29 years"	"25-29"	"2005"	"2005"	1420	19534710	7.269
	"25-29 years"	"25-29"	"2006"	"2006"	1799	20110011	8.946
	"25-29 years"	"25-29"	"2007"	"2007"	1993	20542698	9.702
	"25-29 years"	"25-29"	"2008"	"2008"	2087	20902668	9.984
	"25-29 years"	"25-29"	"2009"	"2009"	2288	21078228	10.855
	"25-29 years"	"25-29"	"2010"	"2010"	2352	21101849	11.146
	"25-29 years"	"25-29"	"2011"	"2011"	2569	21279794	12.072
	"25-29 years"	"25-29"	"2012"	"2012"	2575	21398326	12.034
	"25-29 years"	"25-29"	"2013"	"2013"	2820	21580198	13.068
	"25-29 years"	"25-29"	"2014"	"2014"	3378	21987938	15.363
	"25-29 years"	"25-29"	"2015"	"2015"	4081	22461554	18.169
	"25-29 years"	"25-29"	"2016"	"2016"	5614	22890884	24.525
	"25-29 years"	"25-29"	"2017"	"2017"	6373	23370460	27.269
"Total"	"25-29 years"	"25-29"			44716	392585038	11.390
	"30-34 years"	"30-34"	"1999"	"1999"	957	20603349	4.645
	"30-34 years"	"30-34"	"2000"	"2000"	946	20510388	4.612
	"30-34 years"	"30-34"	"2001"	"2001"	1019	20652175	4.934
	"30-34 years"	"30-34"	"2002"	"2002"	1283	20658306	6.211
	"30-34 years"	"30-34"	"2003"	"2003"	1360	20472210	6.643
	"30-34 years"	"30-34"	"2004"	"2004"	1324	20159501	6.568
	"30-34 years"	"30-34"	"2005"	"2005"	1490	19723937	7.554
	"30-34 years"	"30-34"	"2006"	"2006"	1731	19285168	8.976
	"30-34 years"	"30-34"	"2007"	"2007"	1825	19170765	9.520
	"30-34 years"	"30-34"	"2008"	"2008"	1939	19304805	10.044
	"30-34 years"	"30-34"	"2009"	"2009"	2072	19645114	10.547
	"30-34 years"	"30-34"	"2010"	"2010"	2323	19962099	11.637
	"30-34 years"	"30-34"	"2011"	"2011"	2715	20510704	13.237
	"30-34 years"	"30-34"	"2012"	"2012"	2844	20910995	13.601
	"30-34 years"	"30-34"	"2013"	"2013"	3091	21264389	14.536
	"30-34 years"	"30-34"	"2014"	"2014"	3650	21528566	16.954
	"30-34 years"	"30-34"	"2015"	"2015"	4487	21675648	20.701
	"30-34 years"	"30-34"	"2016"	"2016"	5938	21786359	27.256
	"30-34 years"	"30-34"	"2017"	"2017"	6808	21972212	30.985
"Total"	"30-34 years"	"30-34"			47802	389796690	12.263
	"35-39 years"	"35-39"	"1999"	"1999"	1481	22882549	6.472
	"35-39 years"	"35-39"	"2000"	"2000"	1463	22706664	6.443
	"35-39 years"	"35-39"	"2001"	"2001"	1563	22235918	7.029
	"35-39 years"	"35-39"	"2002"	"2002"	1855	21751218	8.528
	"35-39 years"	"35-39"	"2003"	"2003"	1825	21264159	8.583
	"35-39 years"	"35-39"	"2004"	"2004"	1726	20874649	8.268
	"35-39 years"	"35-39"	"2005"	"2005"	1754	20798653	8.433
	"35-39 years"	"35-39"	"2006"	"2006"	1995	20941233	9.527
	"35-39 years"	"35-39"	"2007"	"2007"	2075	20963891	9.898
	"35-39 years"	"35-39"	"2008"	"2008"	2159	20817463	10.371
	"35-39 years"	"35-39"	"2009"	"2009"	2108	20507796	10.279
	"35-39 years"	"35-39"	"2010"	"2010"	2250	20179642	11.150
	"35-39 years"	"35-39"	"2011"	"2011"	2372	19594309	12.106
	"35-39 years"	"35-39"	"2012"	"2012"	2461	19488199	12.628
	"35-39 years"	"35-39"	"2013"	"2013"	2606	19603770	13.293
	"35-39 years"	"35-39"	"2014"	"2014"	3206	19921650	16.093
	"35-39 years"	"35-39"	"2015"	"2015"	3990	20374585	19.583
	"35-39 years"	"35-39"	"2016"	"2016"	5406	20773905	26.023
	"35-39 years"	"35-39"	"2017"	"2017"	6308	21231997	29.710
"Total"	"35-39 years"	"35-39"			48603	396912250	12.245
	"40-44 years"	"40-44"	"1999"	"1999"	1757	22194128	7.917
	"40-44 years"	"40-44"	"2000"	"2000"	1814	22441863	8.083
	"40-44 years"	"40-44"	"2001"	"2001"	1941	22815834	8.507
	"40-44 years"	"40-44"	"2002"	"2002"	2373	22889431	10.367
	"40-44 years"	"40-44"	"2003"	"2003"	2405	22890047	10.507
	"40-44 years"	"40-44"	"2004"	"2004"	2503	22925626	10.918
	"40-44 years"	"40-44"	"2005"	"2005"	2422	22706885	10.666
	"40-44 years"	"40-44"	"2006"	"2006"	2663	22302568	11.940
	"40-44 years"	"40-44"	"2007"	"2007"	2621	21832339	12.005
	"40-44 years"	"40-44"	"2008"	"2008"	2554	21375023	11.949
	"40-44 years"	"40-44"	"2009"	"2009"	2596	20980015	12.374
	"40-44 years"	"40-44"	"2010"	"2010"	2511	20890964	12.020
	"40-44 years"	"40-44"	"2011"	"2011"	2684	21033645	12.761
	"40-44 years"	"40-44"	"2012"	"2012"	2625	21028221	12.483
	"40-44 years"	"40-44"	"2013"	"2013"	2783	20848920	13.348
	"40-44 years"	"40-44"	"2014"	"2014"	3132	20591483	15.210
	"40-44 years"	"40-44"	"2015"	"2015"	3494	20215198	17.284
	"40-44 years"	"40-44"	"2016"	"2016"	4341	19696251	22.040
	"40-44 years"	"40-44"	"2017"	"2017"	4841	19643373	24.644
"Total"	"40-44 years"	"40-44"			52060	409301814	12.719
	"45-49 years"	"45-49"	"1999"	"1999"	1374	19654207	6.991
	"45-49 years"	"45-49"	"2000"	"2000"	1485	20092404	7.391
	"45-49 years"	"45-49"	"2001"	"2001"	1660	20698983	8.020
	"45-49 years"	"45-49"	"2002"	"2002"	2073	21252288	9.754
	"45-49 years"	"45-49"	"2003"	"2003"	2339	21722676	10.768
	"45-49 years"	"45-49"	"2004"	"2004"	2448	22065262	11.094
	"45-49 years"	"45-49"	"2005"	"2005"	2676	22417171	11.937
	"45-49 years"	"45-49"	"2006"	"2006"	3028	22715286	13.330
	"45-49 years"	"45-49"	"2007"	"2007"	3020	22799761	13.246
	"45-49 years"	"45-49"	"2008"	"2008"	3149	22820973	13.799
	"45-49 years"	"45-49"	"2009"	"2009"	3253	22862245	14.229
	"45-49 years"	"45-49"	"2010"	"2010"	3059	22708591	13.471
	"45-49 years"	"45-49"	"2011"	"2011"	3199	22158005	14.437
	"45-49 years"	"45-49"	"2012"	"2012"	3157	21689479	14.555
	"45-49 years"	"45-49"	"2013"	"2013"	3122	21208306	14.721
	"45-49 years"	"45-49"	"2014"	"2014"	3343	20888042	16.004
	"45-49 years"	"45-49"	"2015"	"2015"	3712	20853844	17.800
	"45-49 years"	"45-49"	"2016"	"2016"	4494	20947623	21.454
	"45-49 years"	"45-49"	"2017"	"2017"	5080	20973858	24.221
"Total"	"45-49 years"	"45-49"			55671	410529004	13.561
	"50-54 years"	"50-54"	"1999"	"1999"	611	16923612	3.610
	"50-54 years"	"50-54"	"2000"	"2000"	698	17585548	3.969
	"50-54 years"	"50-54"	"2001"	"2001"	920	18687285	4.923
	"50-54 years"	"50-54"	"2002"	"2002"	1286	18739906	6.862
	"50-54 years"	"50-54"	"2003"	"2003"	1418	19097278	7.425
	"50-54 years"	"50-54"	"2004"	"2004"	1553	19564668	7.938
	"50-54 years"	"50-54"	"2005"	"2005"	1861	20078733	9.269
	"50-54 years"	"50-54"	"2006"	"2006"	2266	20570873	11.016
	"50-54 years"	"50-54"	"2007"	"2007"	2455	21140178	11.613
	"50-54 years"	"50-54"	"2008"	"2008"	2725	21639474	12.593
	"50-54 years"	"50-54"	"2009"	"2009"	2769	22004843	12.584
	"50-54 years"	"50-54"	"2010"	"2010"	2882	22298125	12.925
	"50-54 years"	"50-54"	"2011"	"2011"	3059	22560198	13.559
	"50-54 years"	"50-54"	"2012"	"2012"	3142	22579259	13.915
	"50-54 years"	"50-54"	"2013"	"2013"	3347	22559226	14.837
	"50-54 years"	"50-54"	"2014"	"2014"	3644	22570809	16.145
	"50-54 years"	"50-54"	"2015"	"2015"	3883	22334317	17.386
	"50-54 years"	"50-54"	"2016"	"2016"	4580	21839056	20.972
	"50-54 years"	"50-54"	"2017"	"2017"	5127	21401094	23.957
"Total"	"50-54 years"	"50-54"			48226	394174482	12.235
	"55-59 years"	"55-59"	"1999"	"1999"	236	13084821	1.804
	"55-59 years"	"55-59"	"2000"	"2000"	288	13469237	2.138
	"55-59 years"	"55-59"	"2001"	"2001"	338	13968975	2.420
	"55-59 years"	"55-59"	"2002"	"2002"	455	15143067	3.005
	"55-59 years"	"55-59"	"2003"	"2003"	594	15814557	3.756
	"55-59 years"	"55-59"	"2004"	"2004"	725	16607176	4.366
	"55-59 years"	"55-59"	"2005"	"2005"	857	17503220	4.896
	"55-59 years"	"55-59"	"2006"	"2006"	1161	18396860	6.311
	"55-59 years"	"55-59"	"2007"	"2007"	1366	18454772	7.402
	"55-59 years"	"55-59"	"2008"	"2008"	1532	18814568	8.143
	"55-59 years"	"55-59"	"2009"	"2009"	1708	19280603	8.859
	"55-59 years"	"55-59"	"2010"	"2010"	1840	19664805	9.357
	"55-59 years"	"55-59"	"2011"	"2011"	2038	20255548	10.061
	"55-59 years"	"55-59"	"2012"	"2012"	2196	20772517	10.572
	"55-59 years"	"55-59"	"2013"	"2013"	2554	21194430	12.050
	"55-59 years"	"55-59"	"2014"	"2014"	2975	21511449	13.830
	"55-59 years"	"55-59"	"2015"	"2015"	3310	21807942	15.178
	"55-59 years"	"55-59"	"2016"	"2016"	4065	21980108	18.494
	"55-59 years"	"55-59"	"2017"	"2017"	4523	22007956	20.552
"Total"	"55-59 years"	"55-59"			32761	349732611	9.367
	"60-64 years "	"60-64"	"1999"	"1999"	118	10693205	1.104
	"60-64 years "	"60-64"	"2000"	"2000"	107	10805447	0.990
	"60-64 years "	"60-64"	"2001"	"2001"	155	11136320	1.392
	"60-64 years "	"60-64"	"2002"	"2002"	191	11560265	1.652
	"60-64 years "	"60-64"	"2003"	"2003"	228	12194388	1.870
	"60-64 years "	"60-64"	"2004"	"2004"	280	12698128	2.205
	"60-64 years "	"60-64"	"2005"	"2005"	337	13138277	2.565
	"60-64 years "	"60-64"	"2006"	"2006"	361	13533253	2.668
	"60-64 years "	"60-64"	"2007"	"2007"	481	14673662	3.278
	"60-64 years "	"60-64"	"2008"	"2008"	582	15342495	3.793
	"60-64 years "	"60-64"	"2009"	"2009"	774	16124997	4.800
	"60-64 years "	"60-64"	"2010"	"2010"	860	16817924	5.114
	"60-64 years "	"60-64"	"2011"	"2011"	914	17806592	5.133
	"60-64 years "	"60-64"	"2012"	"2012"	1025	17813685	5.754
	"60-64 years "	"60-64"	"2013"	"2013"	1319	18122001	7.278
	"60-64 years "	"60-64"	"2014"	"2014"	1477	18566132	7.955
	"60-64 years "	"60-64"	"2015"	"2015"	1779	19069877	9.329
	"60-64 years "	"60-64"	"2016"	"2016"	2256	19483036	11.579
	"60-64 years "	"60-64"	"2017"	"2017"	2630	19987702	13.158
"Total"	"60-64 years "	"60-64"			15874	289567386	5.482
	"65-69 years"	"65-69"	"1999"	"1999"	63	9541498	0.660
	"65-69 years"	"65-69"	"2000"	"2000"	53	9533545	0.556
	"65-69 years"	"65-69"	"2001"	"2001"	60	9562233	0.627
	"65-69 years"	"65-69"	"2002"	"2002"	106	9638481	1.100
	"65-69 years"	"65-69"	"2003"	"2003"	113	9830796	1.149
	"65-69 years"	"65-69"	"2004"	"2004"	123	10073429	1.221
	"65-69 years"	"65-69"	"2005"	"2005"	156	10278627	1.518
	"65-69 years"	"65-69"	"2006"	"2006"	160	10553201	1.516
	"65-69 years"	"65-69"	"2007"	"2007"	183	10970235	1.668
	"65-69 years"	"65-69"	"2008"	"2008"	244	11594347	2.104
	"65-69 years"	"65-69"	"2009"	"2009"	276	12092377	2.282
	"65-69 years"	"65-69"	"2010"	"2010"	256	12435263	2.059
	"65-69 years"	"65-69"	"2011"	"2011"	351	12873788	2.726
	"65-69 years"	"65-69"	"2012"	"2012"	413	13977353	2.955
	"65-69 years"	"65-69"	"2013"	"2013"	481	14608717	3.293
	"65-69 years"	"65-69"	"2014"	"2014"	616	15325266	4.020
	"65-69 years"	"65-69"	"2015"	"2015"	758	16067468	4.718
	"65-69 years"	"65-69"	"2016"	"2016"	900	16820083	5.351
	"65-69 years"	"65-69"	"2017"	"2017"	1097	16836381	6.516
"Total"	"65-69 years"	"65-69"			6409	232613088	2.755
	"70-74 years"	"70-74"	"1999"	"1999"	33	8877411	0.372
	"70-74 years"	"70-74"	"2000"	"2000"	36	8857441	0.406
	"70-74 years"	"70-74"	"2001"	"2001"	39	8821946	0.442
	"70-74 years"	"70-74"	"2002"	"2002"	50	8750054	0.571
	"70-74 years"	"70-74"	"2003"	"2003"	57	8670119	0.657
	"70-74 years"	"70-74"	"2004"	"2004"	63	8594104	0.733
	"70-74 years"	"70-74"	"2005"	"2005"	73	8603070	0.849
	"70-74 years"	"70-74"	"2006"	"2006"	77	8649826	0.890
	"70-74 years"	"70-74"	"2007"	"2007"	94	8728492	1.077
	"70-74 years"	"70-74"	"2008"	"2008"	99	8911332	1.111
	"70-74 years"	"70-74"	"2009"	"2009"	127	9140722	1.389
	"70-74 years"	"70-74"	"2010"	"2010"	118	9278166	1.272
	"70-74 years"	"70-74"	"2011"	"2011"	111	9607950	1.155
	"70-74 years"	"70-74"	"2012"	"2012"	134	10008039	1.339
	"70-74 years"	"70-74"	"2013"	"2013"	199	10608049	1.876
	"70-74 years"	"70-74"	"2014"	"2014"	245	11073024	2.213
	"70-74 years"	"70-74"	"2015"	"2015"	208	11483049	1.811
	"70-74 years"	"70-74"	"2016"	"2016"	313	11810247	2.650
	"70-74 years"	"70-74"	"2017"	"2017"	345	12847065	2.685
"Total"	"70-74 years"	"70-74"			2421	183320106	1.321
	"75-79 years"	"75-79"	"1999"	"1999"	30	7342606	0.409
	"75-79 years"	"75-79"	"2000"	"2000"	18	7415813	Unreliable
	"75-79 years"	"75-79"	"2001"	"2001"	35	7455413	0.469
	"75-79 years"	"75-79"	"2002"	"2002"	40	7470461	0.535
	"75-79 years"	"75-79"	"2003"	"2003"	38	7497842	0.507
	"75-79 years"	"75-79"	"2004"	"2004"	51	7461399	0.684
	"75-79 years"	"75-79"	"2005"	"2005"	49	7463609	0.657
	"75-79 years"	"75-79"	"2006"	"2006"	45	7447034	0.604
	"75-79 years"	"75-79"	"2007"	"2007"	47	7400363	0.635
	"75-79 years"	"75-79"	"2008"	"2008"	51	7345743	0.694
	"75-79 years"	"75-79"	"2009"	"2009"	78	7295064	1.069
	"75-79 years"	"75-79"	"2010"	"2010"	57	7317795	0.779
	"75-79 years"	"75-79"	"2011"	"2011"	49	7388687	0.663
	"75-79 years"	"75-79"	"2012"	"2012"	87	7489583	1.162
	"75-79 years"	"75-79"	"2013"	"2013"	76	7677881	0.990
	"75-79 years"	"75-79"	"2014"	"2014"	97	7922324	1.224
	"75-79 years"	"75-79"	"2015"	"2015"	105	8123833	1.292
	"75-79 years"	"75-79"	"2016"	"2016"	111	8367895	1.326
	"75-79 years"	"75-79"	"2017"	"2017"	145	8741261	1.659
"Total"	"75-79 years"	"75-79"			1209	144624606	0.836
	"80-84 years"	"80-84"	"1999"	"1999"	24	4882308	0.492
	"80-84 years"	"80-84"	"2000"	"2000"	18	4945367	Unreliable
	"80-84 years"	"80-84"	"2001"	"2001"	19	5138205	Unreliable
	"80-84 years"	"80-84"	"2002"	"2002"	20	5294403	0.378
	"80-84 years"	"80-84"	"2003"	"2003"	31	5398596	0.574
	"80-84 years"	"80-84"	"2004"	"2004"	28	5528504	0.506
	"80-84 years"	"80-84"	"2005"	"2005"	38	5611193	0.677
	"80-84 years"	"80-84"	"2006"	"2006"	55	5648117	0.974
	"80-84 years"	"80-84"	"2007"	"2007"	45	5687076	0.791
	"80-84 years"	"80-84"	"2008"	"2008"	45	5730359	0.785
	"80-84 years"	"80-84"	"2009"	"2009"	39	5727711	0.681
	"80-84 years"	"80-84"	"2010"	"2010"	46	5743327	0.801
	"80-84 years"	"80-84"	"2011"	"2011"	51	5786543	0.881
	"80-84 years"	"80-84"	"2012"	"2012"	40	5783051	0.692
	"80-84 years"	"80-84"	"2013"	"2013"	43	5768638	0.745
	"80-84 years"	"80-84"	"2014"	"2014"	44	5760366	0.764
	"80-84 years"	"80-84"	"2015"	"2015"	58	5799341	1.000
	"80-84 years"	"80-84"	"2016"	"2016"	61	5865639	1.040
	"80-84 years"	"80-84"	"2017"	"2017"	62	5965290	1.039
"Total"	"80-84 years"	"80-84"			767	106064034	0.723
	"85-89 years"	"85-89"	"1999"	"1999"	8	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2000"	"2000"	11	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2001"	"2001"	13	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2002"	"2002"	16	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2003"	"2003"	25	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2004"	"2004"	12	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2005"	"2005"	31	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2006"	"2006"	25	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2007"	"2007"	35	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2008"	"2008"	20	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2009"	"2009"	26	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2010"	"2010"	41	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2011"	"2011"	34	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2012"	"2012"	32	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2013"	"2013"	43	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2014"	"2014"	44	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2015"	"2015"	41	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2016"	"2016"	39	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2017"	"2017"	40	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"			536	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"1999"	"1999"	6	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2000"	"2000"	5	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2001"	"2001"	7	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2002"	"2002"	14	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2003"	"2003"	8	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2004"	"2004"	12	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2005"	"2005"	12	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2006"	"2006"	11	Not Applicable	Not Applicable
